AIRCRAFT ORIGIN ARRIVAL DESTINATION DEPARTURE AIRLINE
LNDYB ESGG 11:13 ESGG 12:25 NAX
A6EOP OMDB 11:15 OMDB 13:41 UAE
DAKNQ EDDT 11:21 EDDT 12:32 GWI
DAGWE EDDH 11:23 EDDH 12:27 GWI
DCARO LEVC 11:36 LEMD 12:39 DCA
OKNEN LKPR 11:39 LKPR 12:49 CSA
LXLQB ELLX 11:42 ELLX 12:52 LGL
EIENL LEJR 19:42 - - RYR
TCJHZ LTBA 11:46 LTBA 13:12 THY
EIFRH LEPA 11:48 LEPA 12:40 RYR
CSTTK LPPT 11:52 LPPT 13:03 TAP
EIDHT EGSS 22:31 - - RYR
TCCPG LTFJ 11:59 LTFJ 13:25 PGT
ECIXD LEMD 16:44 LEMD 17:47 IBE
SUGCE HECA 12:11 HECA 13:40 MSR
SXABE EBBR 22:06 - - VLG
HBIOM LSZH 17:43 LSZH 18:37 SWR
GEUUY EGLL 12:21 EGLL 13:38 BAW
DAIRA EDDM 12:38 EDDM 13:57 DLH
GEZPL EGKK 12:44 EGKK 13:23 EZY
EIFJN ENGM 21:15 - - IBK
GEUYB EGKK 13:00 EGKK 14:03 BAW
DAISE EDDF 13:04 EDDF 13:57 DLH
N969AV SKBO 13:07 SKBO 15:19 AVA
A6AIN EGLL 13:09 OMAA 15:20 ROJ
ECHOB LYTV 13:18 - - EXU
EIFJL EKBI 20:17 - - IBK
ECLST LEMH 19:03 LEMH 19:38 AEA
EK111 LSZG 13:38 - - HBV
ECMGY LEGR 21:41 - - VLG
EIFJM EKCH 21:23 - - IBK
DAISR EDDF 13:53 EDDF 15:02 DLH
CSTTN LPPT 19:15 LPPT 20:03 TAP
OYRUP GCLP 22:34 - - IBK
ECIVJ LEIB 14:04 - - EXU
LVCSX SAEZ 14:11 SAEZ 17:33 ARG
PHBXG EHAM 14:13 EHAM 15:42 KLM
LYVEO LFPG 19:47 LMML 21:00 VLG
ECMJZ LELN 19:29 - - ANE
VQBBG UUEE 14:20 UUEE 16:25 AFL
PTMSV SBGR 14:21 - - TAM
HBJYL LSGG 14:25 LSGG 15:08 EZS
ECJPF LEMD 14:27 LEMD 18:32 AEA
HBJXE LFSB 14:32 LFSB 15:12 EZS
CNNMH GMTT 20:02 GMMN 20:57 MAC
ECJNI LEMD 14:39 LEMD 15:39 IBE
EIFJK EGKK 20:34 - - IBK
ECMBF EDDN 14:49 LFPO 16:18 VLG
TCJIP LTBA 14:58 LTBA 17:03 THY
TCDCF LTFJ 15:01 LTFJ 16:32 PGT
IBIXS LIRF 15:06 LIRF 16:32 AZA
VPBAS UUDD 15:08 UUDD 17:08 KTK
ECJFF LDDU 21:02 - - VLG
LNRRG ENGM 15:13 ENGM 16:21 SAS
ECMKX EDDL 21:19 - - VLG
ECLVO LECO 22:02 - - VLG
N483CM LDDU 15:24 - - ZZZ
FHEPB LFPG 15:26 LFPG 16:24 AFR
ECMKM LPPR 20:05 - - VLG
DIERF EDDN 15:32 EDDP 16:48 DIE
DAIRD EDDM 15:33 EDDM 16:46 DLH
ECJFN LEMD 19:55 - - IBE
HBIOH LSZH 15:43 LSZH 16:34 SWR
ECKCU LIRF 20:43 - - VLG
GTTOE EGLL 15:52 EGLL 16:44 BAW
ECLAA LEST 20:32 LGIR 21:48 VLG
EIEPG LFOB 21:17 - - RYR
ECHHA LSZH 20:52 - - VLG
DAIDQ EDDF 16:07 EDDF 16:55 DLH
ECHQJ LEIB 23:57 - - VLG
FGUGO LFPG 16:29 LFPG 17:30 AFR
ECKRN GMMX 16:35 - - EXU
PHBXE EHAM 16:52 EHAM 18:02 KLM
DAICG EDDS 17:06 EDDS 18:15 GWI
CSTPA LPPT 17:08 LPPT 18:01 TAP
GOZBW EGNM 17:13 EGNM 18:22 MON
EIDHO ESKN 17:17 ESKN 18:15 RYR
DAISL EDDF 17:20 - - DLH
HALPX LRCL 17:21 LRCL 18:46 WZZ
HALWY EVRA 17:23 EVRA 18:20 WZZ
ECJFT LEPA 17:25 LEPA 18:01 HSY
LNDYP ESSA 17:26 ESSA 18:24 NAX
GEZIM EDDB 17:29 EDDB 18:19 EZY
DAIQK EDDK 17:32 EDDK 18:27 GWI
ECMFB ENGM 17:35 - - VLG
DASXJ EDDL 17:38 EDDL 18:21 EWG
FGRXE LFPG 17:46 LFPG 18:43 AFR
GEUUT EGLL 17:47 EGLL 18:45 BAW
ECLQN LSZH 17:49 - - VLG
LYVEV LIPZ 22:39 - - VLG
9HVMK LIPZ 17:56 LMML 18:46 LWG
CGDEJ EHRD 17:59 EHRD 19:05 TRA
ECLLM LEIB 18:02 LEIB 18:49 VLG
OEIEW LOWW 18:03 LOWW 18:54 EWG
EIEFN EBBR 18:08 EBBR 19:32 RYR
GEZEG EGKK 18:10 EGKK 18:47 EZY
EIDCM LIRF 18:11 LIRF 19:06 RYR
A7ACD OTHH 18:13 - - QTR
7TVJM DAAG 18:14 - - DAH
HBJYK LSGG 18:17 LSGG 18:56 EZS
HALYG EPKT 18:19 EPKT 19:15 WZZ
GEZBU EGMC 18:21 EGMC 18:55 EZY
OHLZB EFHK 18:22 - - FIN
HBJYE LFSB 18:26 LFSB 19:26 EZS
A6EEH OMDB 18:30 OMDB 21:39 UAE
OELEF LOWW 18:33 LOWW 19:35 NLY
OOSSK EBBR 18:35 EBBR 19:22 BEL
EIEFI EIDW 18:39 EIDW 19:36 RYR
HBIJQ LSGG 18:42 LSGG 19:31 SWR
GEZFY EGNT 18:44 EGNT 19:25 EZY
CSTRN ESSA 18:46 - - VLG
EIDHB LEZL 18:48 LEZL 19:43 RYR
FGZHY LFPO 18:49 LFPO 19:43 TVF
EIDHH GCRR 18:51 GCRR 19:49 RYR
ECJBX LEPA 18:54 - - SWT
ECLVS LEMG 18:55 GMMX 19:50 VLG
HALYL LWSK 18:57 LWSK 19:56 WZZ
EIDWA EGPK 18:58 EGPK 20:07 RYR
ECJPK LEMD 19:00 LEMD 19:40 GES
GEZFG EGGP 19:09 EGGP 19:52 EZY
EIDLH GCLP 19:11 GCLP 20:06 RYR
HALYO LBSF 19:16 LBSF 20:31 WZZ
